WK_NAAM;WK_CODE;INWONERS;MANNEN;VROUWEN;AANTAL_0_15_JAAR;AANTAL_15_25_JAAR;AANTAL_25_45_JAAR;AANTAL_45_65_JAAR;AANTAL_65_PLUS;WESTERSE_ACHTERGROND;NIET_WESTERSE_ACHTERGROND;ARBEIDSPARTICIPATIE
s-Gravenhage;GM0518;548320;272686;275634;91370;68313;164895;142397;81345;107835;199718;64
Wijk 01 Oostduinen;WK051801;0;0;0;0;0;0;0;0;0;0;.
Oostduinen;BU05180170;0;0;0;0;0;0;0;0;0;0;.
Wijk 02 Belgisch Park;WK051802;8260;4050;4205;1250;1150;1805;2350;1705;1990;1105;62
Belgisch Park;BU05180271;8255;4050;4210;1255;1145;1805;2350;1705;1985;1105;62
Wijk 03 Westbroekpark en Duttendel;WK051803;2145;960;1185;250;185;250;535;925;555;180;54
Westbroekpark;BU05180373;1060;475;585;105;70;105;235;545;280;85;50
Duttendel;BU05180374;1085;485;600;150;110;145;300;385;275;95;57
Wijk 04 Benoordenhout;WK051804;14540;6840;7700;2645;1250;3010;3765;3870;4230;1695;65
Nassaubuurt;BU05180448;1660;820;840;320;165;420;435;330;500;210;66
Uilennest;BU05180475;2225;1035;1190;345;135;545;615;590;665;315;69
Duinzigt;BU05180476;2555;1065;1490;235;170;335;490;1325;710;245;56
Waalsdorp;BU05180477;3905;1905;2000;900;405;735;1090;770;1085;400;65
Arendsdorp;BU05180478;1735;825;905;320;135;360;440;465;535;235;64
Van Hoytemastraat en omgeving;BU05180479;2460;1190;1270;525;235;615;700;390;730;285;70
Wijk 05 Archipelbuurt;WK051805;6065;2870;3195;750;610;1430;1840;1435;1795;735;61
Archipelbuurt;BU05180546;6065;2870;3200;750;610;1430;1845;1435;1795;740;61
Wijk 06 Van Stolkpark en Scheveningse Bo;WK051806;780;380;405;110;75;140;240;210;265;100;56
Van Stolkpark en Scheveningse Bosjes;BU05180605;785;380;405;115;75;145;240;205;265;95;56
Wijk 07 Scheveningen;WK051807;18370;8905;9465;2660;1720;5345;4970;3680;3795;2240;64
Oud Scheveningen;BU05180701;2980;1500;1475;415;250;905;865;550;435;300;66
Vissershaven;BU05180702;4260;2070;2190;655;365;1205;1170;865;800;505;63
Scheveningen Badplaats;BU05180703;5515;2705;2810;760;540;1735;1515;960;1305;690;66
Visserijbuurt;BU05180704;3970;1860;2110;625;405;1080;1010;850;905;560;61
Rijslag;BU05180772;1645;770;875;205;160;415;410;460;355;185;64
Wijk 08 Duindorp;WK051808;5790;2875;2915;1035;550;1550;1745;915;710;400;66
Duindorp;BU05180800;5790;2875;2915;1035;545;1550;1745;910;710;395;66
Wijk 09 Geuzen- en Statenkwartier;WK051809;14215;6820;7400;2405;1565;3500;4075;2685;4365;1735;64
Statenkwartier;BU05180907;9985;4815;5170;1700;1165;2385;2910;1830;3535;1235;63
Geuzenkwartier;BU05180908;4235;2010;2230;705;405;1110;1160;855;830;495;67
Wijk 10 Zorgvliet;WK051810;665;340;335;85;40;110;180;250;230;75;49
Zorgvliet;BU05181041;670;335;335;85;40;110;180;250;235;70;49
Wijk 11 Duinoord;WK051811;8505;4190;4320;1270;815;2965;2245;1215;2740;1015;70
Stadhoudersplantsoen;BU05181142;2605;1245;1360;350;215;940;610;490;900;330;67
Sweelinckplein en omgeving;BU05181143;5900;2945;2960;925;600;2020;1640;720;1840;690;71
Wijk 12 Bomen- en Bloemenbuurt;WK051812;14780;6825;7955;2355;1370;3810;4165;3080;3280;1565;70
Bloemenbuurt-West;BU05181250;2300;1075;1225;340;230;365;745;615;410;135;73
Bloemenbuurt-Oost;BU05181251;6530;2985;3545;1080;555;1755;1830;1305;1370;720;71
Bomenbuurt;BU05181252;5950;2765;3185;935;585;1685;1590;1155;1495;710;69
Wijk 13 Vogelwijk;WK051813;5375;2620;2760;1150;670;720;1720;1110;1195;315;66
Vogelwijk;BU05181309;5375;2615;2760;1155;670;715;1720;1110;1190;315;66
Wijk 14 Bohemen en Meer en Bos;WK051814;4845;2125;2720;425;330;825;1410;1860;955;375;62
Bosjes van Pex;BU05181481;370;180;195;35;40;55;150;95;75;30;69
